epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,720.719,0.90497,2.24383,1.83007,1.27589,0.77332,0.61585,0.65235,0.51041,0.77221,0.6072,0.63893,0.46686,0.90737,2.18841,1.97421,1.24103,0.00333066,0.00333066,0.00333066
2,1448.08,0.8652,1.85725,1.24043,1.22833,0.73107,0.48044,0.52088,0.37108,0.7218,0.47434,0.5137,0.35112,1.1566,2.32178,2.02106,1.44985,0.00659802,0.00659802,0.00659802
3,2100.35,0.93426,1.95689,1.16181,1.27558,0.6226,0.46799,0.53511,0.34619,0.72411,0.41921,0.5119,0.33801,1.2743,2.63781,1.87073,1.55088,0.00979938,0.00979938,0.00979938
4,2749.87,0.97594,2.04256,1.13182,1.30125,0.88149,0.60061,0.67571,0.47175,0.80163,0.54776,0.62077,0.42734,1.04918,2.30221,1.33967,1.3242,0.009703,0.009703,0.009703
5,3400.03,0.92833,1.90954,1.02737,1.2726,0.79915,0.55196,0.6201,0.44152,0.79538,0.54827,0.60384,0.41686,1.1725,2.2956,1.37881,1.43812,0.009604,0.009604,0.009604
6,4114.74,0.88264,1.80587,0.95277,1.23857,0.7474,0.55005,0.59711,0.42353,0.77088,0.50483,0.57241,0.40383,1.1773,2.17023,1.63615,1.37279,0.009505,0.009505,0.009505
7,4898.96,0.86444,1.77144,0.90926,1.22469,0.77046,0.60772,0.6815,0.50326,0.76948,0.60595,0.67451,0.49906,1.06573,2.00823,1.35179,1.3399,0.009406,0.009406,0.009406
8,5680.08,0.8285,1.68641,0.86502,1.20311,0.87527,0.60794,0.72541,0.53781,0.86722,0.60235,0.69807,0.51439,1.0687,1.9986,1.19809,1.26984,0.009307,0.009307,0.009307
9,6461.42,0.80804,1.63112,0.83666,1.17966,0.86264,0.62545,0.75178,0.56391,0.8585,0.61763,0.72671,0.50618,1.02915,2.13224,1.09432,1.30941,0.009208,0.009208,0.009208
10,7244.26,0.8106,1.63041,0.82082,1.18225,0.85643,0.62779,0.74496,0.54534,0.84952,0.62551,0.72821,0.5419,0.98674,1.83571,1.11448,1.25939,0.009109,0.009109,0.009109
11,8025.35,0.78119,1.57911,0.78645,1.16359,0.90332,0.51524,0.64957,0.44727,0.89525,0.51118,0.63813,0.46648,1.18157,1.96297,1.31459,1.44782,0.00901,0.00901,0.00901
12,8805.51,0.76382,1.52602,0.76605,1.14861,0.755,0.64405,0.7226,0.5349,0.75379,0.63704,0.70956,0.5237,0.93209,1.97736,1.14625,1.19171,0.008911,0.008911,0.008911
13,9585.28,0.757,1.5069,0.75015,1.14435,0.80636,0.69258,0.7435,0.57536,0.79884,0.68928,0.72513,0.56425,0.93013,2.05038,1.01901,1.20369,0.008812,0.008812,0.008812
14,10365.7,0.73972,1.48544,0.72688,1.1376,0.83481,0.71518,0.76956,0.59331,0.83784,0.71544,0.76518,0.57343,0.91518,1.89028,0.96027,1.20734,0.008713,0.008713,0.008713
15,11105.8,0.72939,1.45721,0.71287,1.12506,0.93315,0.64194,0.75079,0.56182,0.92834,0.63855,0.7416,0.56054,0.96556,1.92398,1.00073,1.23155,0.008614,0.008614,0.008614
16,11755.3,0.72771,1.44807,0.70995,1.1236,0.80139,0.73298,0.76343,0.5838,0.79659,0.72764,0.75235,0.5757,0.94933,1.85138,1.01124,1.23095,0.008515,0.008515,0.008515
17,12404.8,0.70771,1.38798,0.67429,1.11214,0.7871,0.6123,0.68808,0.51317,0.78126,0.63612,0.68264,0.54606,0.94408,1.94076,1.15439,1.19894,0.008416,0.008416,0.008416
18,13053.5,0.71118,1.38891,0.67716,1.11213,0.85472,0.65917,0.77486,0.62703,0.8506,0.65422,0.76716,0.60085,0.85092,1.86413,0.90247,1.11733,0.008317,0.008317,0.008317
19,13702.7,0.70366,1.38679,0.66728,1.1084,0.90371,0.66133,0.72083,0.57107,0.90405,0.64914,0.70693,0.56773,0.94056,1.91581,1.06365,1.1999,0.008218,0.008218,0.008218
20,616.225,0.69217,1.34983,0.64566,1.09876,0.93244,0.63121,0.7404,0.57517,0.92644,0.62715,0.72547,0.56954,0.8877,1.93779,1.0337,1.13315,0.008119,0.008119,0.008119
